REF,Nom,URL,Inclu ?,Explication RETENU,Fait
ANSS39,anssi-guide-securite_numerique_collectivites_territoriales-reglementation1.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-securite_numerique_collectivites_territoriales-reglementation1.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
GUID9,guide_hygiene_informatique_anssi.pdf,https://messervices.cyber.gouv.fr/documents-guides/guide_hygiene_informatique_anssi.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS40,anssi-guide-securite_des_systemes_objets_connectes_iot-v1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-securite_des_systemes_objets_connectes_iot-v1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS41,anssi-guide-selection_crypto-1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-selection_crypto-1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
GUID10,guide_preconisations-pare-feux-zone-exposee-internet_anssi_pa_044_v1.pdf,https://messervices.cyber.gouv.fr/documents-guides/guide_preconisations-pare-feux-zone-exposee-internet_anssi_pa_044_v1.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS42,anssi-guide-attaques_par_rancongiciels_tous_concernes-v1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-attaques_par_rancongiciels_tous_concernes-v1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS43,anssi_essentiels_virtualisation_v1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_essentiels_virtualisation_v1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN7,20230614_np_anssi_sde_automate_court_terme_v1-2-fr.pdf,https://messervices.cyber.gouv.fr/documents-guides/20230614_np_anssi_sde_automate_court_terme_v1-2-fr.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS44,anssi-fondamentaux-securisation_infrastructure_vmware_v1-0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-fondamentaux-securisation_infrastructure_vmware_v1-0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS45,anssi_fondamentaux_securisation_infrastructure_vmware_v1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_fondamentaux_securisation_infrastructure_vmware_v1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN8,20220117_np_anssi_sde_commutateur_moyen_terme_v1-1-fr.pdf,https://messervices.cyber.gouv.fr/documents-guides/20220117_np_anssi_sde_commutateur_moyen_terme_v1-1-fr.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
FICH2,Fiche_methode_Lhomologation_pour_les_decideurs.pdf,https://messervices.cyber.gouv.fr/documents-guides/Fiche_methode_Lhomologation_pour_les_decideurs.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS46,20181213_anssi_guide_cartographie_v1b.pdf,https://messervices.cyber.gouv.fr/documents-guides/20181213_anssi_guide_cartographie_v1b.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ENPO,EN_Position.pdf,https://messervices.cyber.gouv.fr/documents-guides/EN_Position.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN9,20150713_NP_ANSSI_SDE_vpn_court_terme_v1.0-fr.pdf,https://messervices.cyber.gouv.fr/documents-guides/20150713_NP_ANSSI_SDE_vpn_court_terme_v1.0-fr.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS47,anssi_passeport_2019_1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_passeport_2019_1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
GUID11,guide-homologation-securite-web-04-2025.pdf,https://messervices.cyber.gouv.fr/documents-guides/guide-homologation-securite-web-04-2025.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS48,anssi_fundamentals_IT_backup_1.1.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_fundamentals_IT_backup_1.1.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
PREP,preparation_remediation_fr-web.pdf,https://messervices.cyber.gouv.fr/documents-guides/preparation_remediation_fr-web.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS49,anssi_amrae-guide-controlling_digital_risk-trust_advantage.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_amrae-guide-controlling_digital_risk-trust_advantage.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN10,250129_np_anssi_guide_ebios_fr_final_collection_WEB.pdf,https://messervices.cyber.gouv.fr/documents-guides/250129_np_anssi_guide_ebios_fr_final_collection_WEB.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAP,np_applocker_notetech-v2.pdf,https://messervices.cyber.gouv.fr/documents-guides/np_applocker_notetech-v2.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS50,anssi-guide-doctrine_de_detection_pour_les_systemes_industriels.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-doctrine_de_detection_pour_les_systemes_industriels.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
PSSI3,pssi-section2-methodologie-2004-03-03.pdf,https://messervices.cyber.gouv.fr/documents-guides/pssi-section2-methodologie-2004-03-03.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN11,20150713_NP_ANSSI_SDE_plc_short_term_v1.1-en.pdf,https://messervices.cyber.gouv.fr/documents-guides/20150713_NP_ANSSI_SDE_plc_short_term_v1.1-en.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
LINU,linux_configuration-en-v2.pdf,https://messervices.cyber.gouv.fr/documents-guides/linux_configuration-en-v2.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
DOCK,docker_fiche_technique.pdf,https://messervices.cyber.gouv.fr/documents-guides/docker_fiche_technique.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS51,anssi-guide-ebios_risk_manager-en-v1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-ebios_risk_manager-en-v1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
GUID12,Guide_Systemes_industriels__Mesures_detaillees_v2.pdf,https://messervices.cyber.gouv.fr/documents-guides/Guide_Systemes_industriels__Mesures_detaillees_v2.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
THES,the-security-accreditation-guide-for-information-systems_english.pdf,https://messervices.cyber.gouv.fr/documents-guides/the-security-accreditation-guide-for-information-systems_english.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS52,anssi-fondamentaux-securisation-poste-multi-environnements-v1-0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-fondamentaux-securisation-poste-multi-environnements-v1-0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
TDBS,tdbssi-section1-methodologie-2004-02-05.pdf,https://messervices.cyber.gouv.fr/documents-guides/tdbssi-section1-methodologie-2004-02-05.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
BEST,best-practices-for-cyber-security-on-board-ships_anssi.pdf,https://messervices.cyber.gouv.fr/documents-guides/best-practices-for-cyber-security-on-board-ships_anssi.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
BACK1,20240829_Back to Basics_DevSecOps.pdf,https://messervices.cyber.gouv.fr/documents-guides/20240829_Back%20to%20Basics_DevSecOps.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN12,20150713_NP_ANSSI_SDE_plc_mid_term_v1.1-en.pdf,https://messervices.cyber.gouv.fr/documents-guides/20150713_NP_ANSSI_SDE_plc_mid_term_v1.1-en.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS53,anssi_back to basics_migration_1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_back%20to%20basics_migration_1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS54,anssi_supervision_les_cles_de_decision_1.0 (1).pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_supervision_les_cles_de_decision_1.0%20%281%29.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS55,anssi_back to basics_sensitive_data_and_processing_1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_back%20to%20basics_sensitive_data_and_processing_1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS56,anssi_essentiels_selection_logiciel_libre_1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_essentiels_selection_logiciel_libre_1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
FICH3,fiches-methodes-ebios_projet.pdf,https://messervices.cyber.gouv.fr/documents-guides/fiches-methodes-ebios_projet.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS57,anssi_essentiels_serveur_Windows_membre_AD_DS_v1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_essentiels_serveur_Windows_membre_AD_DS_v1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS58,anssi_essentiels_migration_1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_essentiels_migration_1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS59,ANSSI-views-on-crypto-agility.pdf,https://messervices.cyber.gouv.fr/documents-guides/ANSSI-views-on-crypto-agility.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
GUID13,guide_nomadisme_anssi_pa_054_v2.pdf,https://messervices.cyber.gouv.fr/documents-guides/guide_nomadisme_anssi_pa_054_v2.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS60,anssi-guide-authentification_multifacteur_et_mots_de_passe.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-authentification_multifacteur_et_mots_de_passe.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NTIP1,NT_IPsec_EN.pdf,https://messervices.cyber.gouv.fr/documents-guides/NT_IPsec_EN.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPNE,np_nettoyage-politique-pare-feu.pdf,https://messervices.cyber.gouv.fr/documents-guides/np_nettoyage-politique-pare-feu.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS61,anssi-guide-organiser-un-exercice-de-gestion-de-crise-cyber-fiche_6-chronogramme.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-organiser-un-exercice-de-gestion-de-crise-cyber-fiche_6-chronogramme.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS62,anssi_essentiels_mise-en-oeuvre-securisee-cms_v1.1 (1).pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_essentiels_mise-en-oeuvre-securisee-cms_v1.1%20%281%29.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS63,anssi-fondamentaux-zero-trust-v1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-fondamentaux-zero-trust-v1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS64,anssi-guide-archi_services_dns-v1-0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-archi_services_dns-v1-0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS65,anssi-guide-ransomware_attacks_all_concerned-v1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-ransomware_attacks_all_concerned-v1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS66,anssi-guide-admin_securisee_si_ad_v1-0 (3).pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-admin_securisee_si_ad_v1-0%20%283%29.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS67,anssi-guide-recommandations_de_securite_relatives_a_tls-v1.2.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-recommandations_de_securite_relatives_a_tls-v1.2.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPSE3,NP_securiser_ToIP_NoteTech-v1.pdf,https://messervices.cyber.gouv.fr/documents-guides/NP_securiser_ToIP_NoteTech-v1.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS68,anssi_back to basics_select_open_source_software.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_back%20to%20basics_select_open_source_software.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS69,anssi-guide-communication_crise_cyber.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-communication_crise_cyber.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS70,anssi-guide-recommandations_securisation_systemes_controle_acces_physique_et_videoprotection-v2.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-recommandations_securisation_systemes_controle_acces_physique_et_videoprotection-v2.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
GUID14,guide_cybersecurite_start-up_numerique_FR_v1.pdf,https://messervices.cyber.gouv.fr/documents-guides/guide_cybersecurite_start-up_numerique_FR_v1.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPTE,np_teleassistance_notetech_v1.1.pdf,https://messervices.cyber.gouv.fr/documents-guides/np_teleassistance_notetech_v1.1.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
